追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
118,柳井,令和6年6月18日,19:05,"熊毛郡田布施町大字宿井
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約70cm,33.98542 ,132.02446 
119,萩,令和6年6月20日,6:25,"萩市大字佐々並
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約150cm,34.30564 ,131.45691 
120,山口,令和6年6月20日,14:40,"山口市徳地山畑
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約150cm,34.17621 ,131.68699 
121,長門,令和6年6月20日,7:50,"長門市油谷新別名
　　市道脇",車で走行中、市道脇にいる熊を目撃したもの,1,約100cm,34.36414 ,131.05408 
122,小串,令和6年6月21日,21:00,"下関市豊北町大字粟野
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.31481 ,130.96788 
123,山口,令和6年6月23日,15:45,"山口市徳地柚木
　　民家敷地内",自宅の外で物音がしたため、窓を開けたところ、熊を目撃したもの,1,約150cm,34.34567 ,131.73613 
124,宇部,令和6年6月23日,17:30,"宇部市大字西岐波
　　市道脇",車で走行中、市道脇にいる熊を目撃したもの,1,約50cm,33.98460 ,131.30423 
125,周南,令和6年6月24日,20:33,"周南市大字長穂
　　市道上",車に乗り込もうとした際に、市道上を歩く熊を目撃したもの,1,約100cm,34.12933 ,131.83251 
126,萩,令和6年6月25日,11:05,"阿武郡阿武町大字福田下
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.52422 ,131.58893 
127,岩国,令和6年6月24日,17:30,"岩国市周東町田尻
　　農道上",車で走行中、農道を横切る熊を目撃したもの,1,約100cm,34.03053 ,132.07525 
128,光,令和6年6月26日,7:10,"光市大字塩田
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約120cm,34.01316 ,132.03156 
129,美祢,令和6年6月26日,8:44,"美祢市秋芳町嘉万
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.29038 ,131.25742 
130,光,令和6年6月25日,17:55,"周南市大字呼坂
　　市道脇",車で走行中、市道脇にいる熊を目撃したもの,1,約100cm,34.04201 ,131.95344 
131,岩国,令和6年6月26日,17:55,"岩国市美和町生見
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約50cm,34.23799 ,132.08097 
